Input_file	Dataset	Complete	Single	Duplicated	Fragmented	Missing	n_markers	Scaffold N50	Contigs N50	Percent gaps	Number of scaffolds
sal2_R941.40.fq.seed3.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4212026	4212026	0.000%	4
sal2_simplex.30.fq.seed1.ont.fa	enterobacterales_odb10	99.5	99.3	0.2	0.0	0.5	440	4215180	4215180	0.000%	4
sal2_simplex.50.fq.seed2.ont.fa	enterobacterales_odb10	98.8	98.6	0.2	0.5	0.7	440	4215168	4215168	0.000%	5
sal2_simplex.80.fq.seed5.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215207	4215207	0.000%	5
sal2_R941.20.fq.seed1.ont.fa	enterobacterales_odb10	96.1	95.9	0.2	2.7	1.2	440	5018805	5018805	0.000%	2
sal2_R941.30.fq.seed2.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4212002	4212002	0.000%	4
sal2_simplex.10.fq.seed2.ont.fa	enterobacterales_odb10	93.8	93.6	0.2	3.6	2.6	440	568226	568226	0.000%	21
sal2_simplex.70.fq.seed4.ont.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215185	4215185	0.000%	6
sal2_simplex.50.fq.seed5.ngs.fa	enterobacterales_odb10	99.1	98.9	0.2	0.5	0.4	440	4215309	4215309	0.000%	5
sal2_R941.90.fq.seed5.ont.fa	enterobacterales_odb10	97.5	97.3	0.2	1.8	0.7	440	4211680	4211680	0.000%	9
sal2_R941.80.fq.seed4.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4212024	4212024	0.000%	4
sal2_simplex.110.fq.seed2.ont.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215154	4215154	0.000%	5
sal2_R941.120.fq.seed5.ont.fa	enterobacterales_odb10	97.2	97.0	0.2	2.0	0.8	440	4211681	4211681	0.000%	16
sal2_R941.100.fq.seed4.ngs.fa	enterobacterales_odb10	99.5	99.3	0.2	0.0	0.5	440	4212024	4212024	0.000%	5
sal2_R941.90.fq.seed3.ont.fa	enterobacterales_odb10	97.5	97.3	0.2	1.6	0.9	440	4211695	4211695	0.000%	8
sal2_simplex.10.fq.seed3.ngs.fa	enterobacterales_odb10	99.1	98.9	0.2	0.0	0.9	440	801950	801950	0.000%	11
sal2_simplex.120.fq.seed4.ont.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215174	4215174	0.000%	7
sal2_R941.70.fq.seed1.ngs.fa	enterobacterales_odb10	99.5	99.3	0.2	0.0	0.5	440	4212034	4212034	0.000%	4
sal2_R941.30.fq.seed3.ont.fa	enterobacterales_odb10	96.8	96.6	0.2	2.3	0.9	440	4211566	4211566	0.000%	4
sal2_R941.60.fq.seed5.ngs.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4212015	4212015	0.000%	5
sal2_R941.60.fq.seed2.ngs.fa	enterobacterales_odb10	99.1	98.9	0.2	0.5	0.4	440	4212018	4212018	0.000%	4
sal2_simplex.70.fq.seed2.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215294	4215294	0.000%	5
sal2_R941.10.fq.seed4.ngs.fa	enterobacterales_odb10	98.4	98.2	0.2	0.5	1.1	440	1492828	1492828	0.000%	10
sal2_simplex.10.fq.seed4.ngs.fa	enterobacterales_odb10	98.6	98.4	0.2	0.7	0.7	440	563760	563760	0.000%	14
sal2_R941.80.fq.seed5.ngs.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4212062	4212062	0.000%	5
sal2_simplex.90.fq.seed1.ngs.fa	enterobacterales_odb10	99.1	98.9	0.2	0.0	0.9	440	4215204	4215204	0.000%	5
sal2_R941.10.fq.seed1.ont.fa	enterobacterales_odb10	86.1	85.9	0.2	10.0	3.9	440	1173949	1173949	0.000%	7
sal2_R941.100.fq.seed1.ont.fa	enterobacterales_odb10	97.3	96.8	0.5	1.8	0.9	440	4211690	4211690	0.000%	11
sal2_simplex.110.fq.seed4.ont.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215177	4215177	0.000%	7
sal2_R941.10.fq.seed4.ont.fa	enterobacterales_odb10	83.8	83.6	0.2	9.8	6.4	440	1493239	1493239	0.000%	10
sal2_simplex.100.fq.seed5.ont.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215183	4215183	0.000%	6
sal2_simplex.40.fq.seed3.ont.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4215162	4215162	0.000%	5
sal2_R941.120.fq.seed1.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4212039	4212039	0.000%	6
sal2_simplex.20.fq.seed4.ont.fa	enterobacterales_odb10	99.1	98.9	0.2	0.5	0.4	440	4215137	4215137	0.000%	5
sal2_simplex.50.fq.seed1.ont.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215190	4215190	0.000%	5
sal2_R941.50.fq.seed4.ont.fa	enterobacterales_odb10	97.7	97.5	0.2	1.6	0.7	440	4211682	4211682	0.000%	5
sal2_simplex.90.fq.seed2.ngs.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	4215178	4215178	0.000%	5
sal2_simplex.120.fq.seed5.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.0	0.7	440	4215202	4215202	0.000%	5
sal2_R941.20.fq.seed1.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.2	0.5	440	5019483	5019483	0.000%	2
sal2_R941.10.fq.seed5.ont.fa	enterobacterales_odb10	83.6	83.4	0.2	10.0	6.4	440	1427078	1427078	0.000%	6
sal2_simplex.70.fq.seed4.ngs.fa	enterobacterales_odb10	99.5	99.3	0.2	0.0	0.5	440	4215212	4215212	0.000%	5
sal2_R941.20.fq.seed5.ont.fa	enterobacterales_odb10	95.0	94.8	0.2	3.6	1.4	440	4211458	4211458	0.000%	4
sal2_R941.10.fq.seed2.ngs.fa	enterobacterales_odb10	99.1	98.9	0.2	0.2	0.7	440	3013086	3013086	0.000%	6
sal2_R941.10.fq.seed1.ngs.fa	enterobacterales_odb10	99.3	99.1	0.2	0.2	0.5	440	1174478	1174478	0.000%	7
sal2_R941.10.fq.seed3.ngs.fa	enterobacterales_odb10	99.1	98.9	0.2	0.0	0.9	440	1147022	1147022	0.000%	6
